Pais;Score;Rank;Income;RankIncome;Region;RankRegion
RepublicofMoldova;35.52;58;LM;7;EUR;35
NorthMacedonia;35.29;59;UM;12;EUR;36
Kuwait;34.55;60;HI;41;NAWA;6
Iran;34.43;61;UM;13;CSA;2
Uruguay;34.32;62;HI;42;LCN;4
SouthAfrica;34.04;63;UM;14;SSF;1
Armenia;33.98;64;UM;15;NAWA;7
Qatar;33.86;65;HI;43;NAWA;8
Brazil;33.82;66;UM;16;LCN;5
Colombia;33.00;67;UM;17;LCN;6
SaudiArabia;32.93;68;HI;44;NAWA;9
Peru;32.93;69;UM;18;LCN;7
Tunisia;32.83;70;LM;8;NAWA;10
BruneiDarussalam;32.35;71;HI;45;SEAO;13
Belarus;32.07;72;UM;19;EUR;37
Argentina;31.95;73;HI;46;LCN;8
Morocco;31.63;74;LM;9;NAWA;11
Panama;31.51;75;HI;47;LCN;9
BosniaandHerzegovina;31.41;76;UM;20;EUR;38
Kenya;31.13;77;LM;10;SSF;2
Bahrain;31.10;78;HI;48;NAWA;12
Kazakhstan;31.03;79;UM;21;CSA;3
Oman;30.98;80;HI;49;NAWA;13
Jamaica;30.80;81;UM;22;LCN;10
Mauritius;30.61;82;UM;23;SSF;3
Albania;30.34;83;UM;24;EUR;39
Azerbaijan;30.21;84;UM;25;NAWA;14
Indonesia;29.72;85;LM;11;SEAO;14
Jordan;29.61;86;UM;26;NAWA;15
DominicanRepublic;28.56;87;UM;27;LCN;11
Lebanon;28.54;88;UM;28;NAWA;16
SriLanka;28.45;89;LM;12;CSA;4
Kyrgyzstan;28.38;90;LM;13;CSA;5
TrinidadandTobago;28.08;91;HI;50;LCN;12
Egypt;27.47;92;LM;14;NAWA;17
Botswana;27.43;93;UM;29;SSF;4
Rwanda;27.38;94;LI;1;SSF;5
Paraguay;27.09;95;UM;30;LCN;13
Senegal;26.83;96;LI;2;SSF;6
Tanzania;26.63;97;LI;3;SSF;7
Cambodia;26.59;98;LM;15;SEAO;15
Ecuador;26.56;99;UM;31;LCN;14
Tajikistan;26.43;100;LI;4;CSA;6
Namibia;25.85;101;UM;32;SSF;8
Uganda;25.60;102;LI;5;SSF;9
CôtedIvoire;25.55;103;LM;16;SSF;10
Honduras;25.48;104;LM;17;LCN;15
Pakistan;25.36;105;LM;18;CSA;7
Ghana;25.27;106;LM;19;SSF;11
Guatemala;25.07;107;UM;33;LCN;16
ElSalvador;24.89;108;LM;20;LCN;17
Nepal;24.85;109;LI;6;CSA;8
Bolivia;24.76;110;LM;21;LCN;18
Ethiopia;24.16;111;LI;7;SSF;12
Mali;24.03;112;LI;8;SSF;13
Algeria;23.98;113;UM;34;NAWA;18
Nigeria;23.93;114;LM;22;SSF;14
Cameroon;23.90;115;LM;23;SSF;15
Bangladesh;23.31;116;LM;24;CSA;9
BurkinaFaso;23.30;117;LI;9;SSF;16
Malawi;23.00;118;LI;10;SSF;17
Mozambique;22.87;119;LI;11;SSF;18
Nicaragua;22.55;120;LM;25;LCN;19
Madagascar;22.38;121;LI;12;SSF;19
Zimbabwe;22.30;122;LI;13;SSF;20
Benin;20.42;123;LI;14;SSF;21
Zambia;20.36;124;LM;26;SSF;22
Guinea;19.50;125;LI;15;SSF;23
Togo;18.54;126;LI;16;SSF;24
Niger;18.13;127;LI;17;SSF;25
Burundi;17.65;128;LI;18;SSF;26
Yemen;14.49;129;LI;19;NAWA;19
