Pais;Score;Rank;Income;RankIncome;Region;RankRegion;Eficiency;RankEficiency
Bangladesh;26.1;112;LI;6;CSA;7
Nepal;26.0;113;LI;7;CSA;8
Bolivia;25.8;114;LM;25;LCN;21
Zimbabwe;25.7;115;LI;8;SSF;13
Lesotho;25.7;116;LM;26;SSF;14
Uganda;25.6;117;LI;9;SSF;15
Venezuela;25.4;118;UM;39;LCN;22
Mali;25.4;119;LI;10;SSF;16
Malawi;25.4;120;LI;11;SSF;17
Cameroon;25.0;121;LM;27;SSF;18
BurkinaFaso;24.6;122;LI;12;SSF;19
Nigeria;24.6;123;LM;28;SSF;20
Algeria;24.4;124;UM;40;NAWA;18
Benin;24.4;125;LI;13;SSF;21
Madagascar;24.2;126;LI;14;SSF;22
Uzbekistan;23.9;127;LM;29;CSA;9
Tanzania;23.9;128;LI;15;SSF;23
Cambodia;23.4;129;LI;16;SEAO;16
Gambia;23.3;130;LI;17;SSF;24
Ethiopia;23.3;131;LI;18;SSF;25
SyrianArabRep;23.1;132;LM;30;NAWA;19
Pakistan;23.1;133;LM;31;CSA;10
CotedIvoire;22.6;134;LM;32;SSF;26
Angola;22.2;135;LM;33;SSF;27
Togo;20.5;136;LI;19;SSF;28
Burundi;20.5;137;LI;20;SSF;29
Lao;20.2;138;LM;34;SEAO;17
Yemen;19.2;139;LM;35;NAWA;20
Niger;18.6;140;LI;21;SSF;30
Sudan;16.8;141;LM;36;SSF;31
