Pais;Score;Rank;Income;RankIncome;Region;RankRegion;Eficiency;RankEficiency
Malaysia;43.36;35;UM;2;SEAO;8;0.67;59
Lithuania;41.76;36;HI;34;EUR;24;0.63;75
Slovakia;41.70;37;HI;35;EUR;25;0.74;36
Bulgaria;41.42;38;UM;3;EUR;26;0.83;16
Poland;40.22;39;HI;36;EUR;27;0.65;66
Greece;39.75;40;HI;37;EUR;28;0.61;84
UnitedArabEmirates;39.35;41;HI;38;NAWA;3;0.44;117
Turkey;39.03;42;UM;4;NAWA;4;0.84;13
Russia;38.50;43;HI;39;EUR;29;0.65;69
Chile;38.41;44;HI;40;LCN;1;0.59;91
CostaRica;38.40;45;UM;5;LCN;2;0.71;50
Moldova;38.39;46;LM;1;EUR;30;0.94;4
Croatia;38.29;47;HI;41;EUR;31;0.65;68
Romania;37.90;48;UM;6;EUR;32;0.72;46
SaudiArabia;37.75;49;HI;42;NAWA;5;0.61;85
Qatar;37.47;50;HI;43;NAWA;6;0.56;97
Montenegro;37.36;51;UM;7;EUR;33;0.62;80
Thailand;36.51;52;UM;8;SEAO;9;0.70;53
Mauritius;35.86;53;UM;9;SSF;1;0.57;95
SouthAfrica;35.85;54;UM;10;SSF;2;0.55;99
Mongolia;35.74;55;UM;11;SEAO;10;0.72;47
Ukraine;35.72;56;LM;2;EUR;34;0.84;12
Bahrain;35.48;57;HI;44;NAWA;7;0.58;92
Macedonia;35.40;58;UM;12;EUR;35;0.67;56
VietNam;35.37;59;LM;3;SEAO;11;0.84;11
Armenia;35.14;60;LM;4;NAWA;8;0.83;15
Mexico;34.56;61;UM;13;LCN;3;0.63;76
Uruguay;34.28;62;HI;45;LCN;4;0.62;81
Colombia;34.16;63;UM;14;LCN;5;0.56;96
Georgia;33.86;64;LM;5;NAWA;9;0.65;67
Serbia;33.75;65;UM;15;EUR;36;0.65;70
India;33.61;66;LM;6;CSA;1;0.66;63
Kuwait;33.61;67;HI;46;NAWA;10;0.73;42
Panama;33.49;68;UM;16;LCN;6;0.66;61
Brazil;33.19;69;UM;17;LCN;7;0.55;100
Lebanon;32.70;70;UM;18;NAWA;11;0.73;41
Peru;32.51;71;UM;19;LCN;8;0.51;109
Morocco;32.26;72;LM;7;NAWA;12;0.66;64
Oman;32.21;73;HI;47;NAWA;13;0.53;103
Philippines;31.83;74;LM;8;SEAO;12;0.71;49
Kazakhstan;31.51;75;UM;20;CSA;2;0.51;108
DominicanRepublic;30.55;76;UM;21;LCN;9;0.62;82
Tunisia;30.55;77;UM;22;NAWA;14;0.60;86
Iran;30.52;78;UM;23;CSA;3;0.71;51
Belarus;30.39;79;UM;24;EUR;37;0.45;116
Kenya;30.36;80;LM;9;SSF;3;0.76;30
Argentina;30.24;81;HI;48;LCN;10;0.56;98
Jordan;30.04;82;UM;25;NAWA;15;0.67;58
Rwanda;29.96;83;LI;1;SSF;4;0.38;123
Mozambique;29.84;84;LI;2;SSF;5;0.73;45
Azerbaijan;29.64;85;UM;26;NAWA;16;0.54;101
Tajikistan;29.62;86;LM;10;CSA;4;0.77;29
BosniaandHerzegovina;29.62;87;UM;27;EUR;38;0.46;115
Indonesia;29.07;88;LM;11;SEAO;13;0.71;52
Jamaica;28.97;89;UM;28;LCN;11;0.53;104
Botswana;28.96;90;UM;29;SSF;6;0.42;119
SriLanka;28.92;91;LM;12;CSA;5;0.70;54
Albania;28.38;92;UM;30;EUR;39;0.40;121
Namibia;28.24;93;UM;31;SSF;7;0.54;102
Paraguay;28.20;94;UM;32;LCN;12;0.62;77
Cambodia;27.94;95;LI;3;SEAO;14;0.59;90
Bhutan;27.88;96;LM;13;CSA;6;0.28;128
Guatemala;27.30;97;LM;14;LCN;13;0.62;79
Malawi;27.26;98;LI;4;SSF;8;0.74;38
Uganda;27.14;99;LI;5;SSF;9;0.52;106
Ecuador;27.11;100;UM;33;LCN;14;0.60;87
Honduras;26.94;101;LM;15;LCN;15;0.53;105
Ghana;26.66;102;LM;16;SSF;10;0.60;88
Kyrgyzstan;26.62;103;LM;17;CSA;7;0.50;110
ElSalvador;26.56;104;LM;18;LCN;16;0.48;113
Tanzania;26.35;105;LI;6;SSF;11;0.81;22
Senegal;26.14;106;LM;19;SSF;12;0.66;62
Egypt;25.96;107;LM;20;NAWA;17;0.63;74
CotedIvoire;25.80;108;LM;21;SSF;13;0.82;19
Bolivia;25.24;109;LM;22;LCN;17;0.59;89
Ethiopia;24.83;110;LI;7;SSF;14;0.83;18
Madagascar;24.79;111;LI;8;SSF;15;0.74;35
Mali;24.77;112;LI;9;SSF;16;0.74;37
Algeria;24.46;113;UM;34;NAWA;18;0.49;111
Nigeria;23.15;114;LM;23;SSF;17;0.67;60
Nepal;23.13;115;LI;10;CSA;8;0.58;94
Nicaragua;23.06;116;LM;24;LCN;18;0.41;120
Bangladesh;22.86;117;LM;25;CSA;9;0.52;107
Cameroon;22.82;118;LM;26;SSF;18;0.58;93
Pakistan;22.63;119;LM;27;CSA;10;0.64;71
Venezuela;22.32;120;HI;49;LCN;19;0.46;114
Benin;22.25;121;LI;11;SSF;19;0.43;118
BurkinaFaso;21.05;122;LI;12;SSF;20;0.28;127
Burundi;20.93;123;LI;13;SSF;21;0.39;122
Niger;20.44;124;LI;14;SSF;22;0.36;125
Zambia;19.92;125;LM;28;SSF;23;0.64;72
Togo;18.42;126;LI;15;SSF;24;0.36;124
Guinea;17.24;127;LI;16;SSF;25;0.49;112
Yemen;14.55;128;LM;29;NAWA;19;0.34;126
