Pais;Score;Rank;Income;RankIncome;Region;RankRegion;Eficiency;RankEficiency
SouthAfrica;35.80;57;UM;10;SSF;1;0.53;97
Mexico;35.79;58;UM;11;LCN;3;0.61;74
Armenia;35.65;59;LM;5;NAWA;8;0.80;17
India;35.47;60;LM;6;CSA;1;0.66;53
Macedonia;35.43;61;UM;12;EUR;35;0.59;80
Serbia;35.34;62;UM;13;EUR;36;0.61;67
Panama;34.98;63;UM;14;LCN;4;0.69;38
Mauritius;34.82;64;UM;15;SSF;2;0.48;109
Colombia;34.78;65;UM;16;LCN;5;0.52;100
Bahrain;34.67;66;HI;44;NAWA;9;0.56;88
Uruguay;34.53;67;HI;45;LCN;6;0.59;82
Georgia;34.39;68;UM;17;NAWA;10;0.63;60
Brazil;33.10;69;UM;18;LCN;7;0.52;99
Peru;32.90;70;UM;19;LCN;8;0.49;106
Brunei;32.89;71;HI;46;SEAO;12;0.34;124
Morocco;32.72;72;LM;7;NAWA;11;0.61;71
Philippines;32.48;73;LM;8;SEAO;13;0.65;55
Tunisia;32.30;74;LM;9;NAWA;12;0.62;65
Iran;32.09;75;UM;20;CSA;2;0.80;16
Argentina;32.00;76;UM;21;LCN;9;0.55;94
Oman;31.83;77;HI;47;NAWA;13;0.46;115
Kazakhstan;31.50;78;UM;22;CSA;3;0.46;116
DominicanRepublic;31.17;79;UM;23;LCN;10;0.65;54
Kenya;30.95;80;LM;10;SSF;3;0.66;50
Lebanon;30.64;81;UM;24;NAWA;14;0.61;69
Azerbaijan;30.58;82;UM;25;NAWA;15;0.50;103
Jordan;30.52;83;UM;26;NAWA;16;0.65;57
Jamaica;30.36;84;UM;27;LCN;11;0.57;86
Paraguay;30.30;85;UM;28;LCN;12;0.61;72
BosniaandHerzegovina;30.23;86;UM;29;EUR;37;0.47;112
Indonesia;30.10;87;LM;11;SEAO;14;0.69;42
Belarus;29.98;88;UM;30;EUR;38;0.39;120
Botswana;29.97;89;UM;31;SSF;4;0.38;121
SriLanka;29.85;90;LM;12;CSA;4;0.65;58
TrinidadandTobago;29.75;91;HI;48;LCN;13;0.56;90
Ecuador;29.14;92;UM;32;LCN;14;0.62;66
Albania;28.86;93;UM;33;EUR;39;0.37;122
Tajikistan;28.16;94;LM;13;CSA;5;0.59;83
Kyrgyzstan;28.01;95;LM;14;CSA;6;0.47;114
Tanzania;27.97;96;LI;1;SSF;5;0.73;29
Namibia;27.94;97;UM;34;SSF;6;0.48;108
Guatemala;27.90;98;LM;15;LCN;15;0.56;91
Rwanda;27.36;99;LI;2;SSF;7;0.33;125
Senegal;27.11;100;LI;3;SSF;8;0.54;95
Cambodia;27.05;101;LM;16;SEAO;15;0.63;61
Uganda;26.97;102;LI;4;SSF;9;0.47;113
ElSalvador;26.68;103;LM;17;LCN;16;0.48;107
Honduras;26.36;104;LM;18;LCN;17;0.52;101
Egypt;26.00;105;LM;19;NAWA;17;0.59;81
Bolivia;25.64;106;LM;20;LCN;18;0.57;85
Mozambique;24.55;107;LI;5;SSF;10;0.61;70
Algeria;24.34;108;UM;35;NAWA;18;0.47;111
Nepal;24.20;109;LI;6;CSA;7;0.49;105
Ethiopia;24.16;110;LI;7;SSF;11;0.72;32
Madagascar;24.15;111;LI;8;SSF;12;0.68;45
CôtedIvoire;23.96;112;LM;21;SSF;13;0.69;40
Pakistan;23.80;113;LM;22;CSA;8;0.62;64
Bangladesh;23.72;114;LM;23;CSA;9;0.55;93
Malawi;23.45;115;LI;9;SSF;14;0.53;98
Benin;23.04;116;LI;10;SSF;15;0.47;110
Cameroon;22.58;117;LM;24;SSF;16;0.56;92
Mali;22.48;118;LI;11;SSF;17;0.60;78
Nigeria;21.92;119;LM;25;SSF;18;0.52;102
BurkinaFaso;21.86;120;LI;12;SSF;19;0.24;127
Zimbabwe;21.80;121;LI;13;SSF;20;0.56;89
Burundi;21.31;122;LI;14;SSF;21;0.41;117
Niger;21.18;123;LI;15;SSF;22;0.36;123
Zambia;20.83;124;LM;26;SSF;23;0.59;79
Togo;18.41;125;LI;16;SSF;24;0.28;126
Guinea;17.41;126;LI;17;SSF;25;0.40;118
Yemen;15.64;127;LM;27;NAWA;19;0.40;119
