Pais;Score;Rank;Income;RankIncome;Region;RankRegion;i2010;i2009
Mauritius;36.47;53;UM;9;SSF;1;73;66
SaudiArabia;36.44;54;HI;40;MEA;8;54;32
Serbia;36.31;55;UM;10;ECS;31;101;92
Russia;35.85;56;UM;11;ECS;32;64;68
Oman;35.51;57;HI;41;MEA;9;65;52
Argentina;35.36;58;UM;12;LCN;4;75;84
SouthAfrica;35.22;59;UM;13;SSF;2;51;43
Ukraine;35.01;60;LM;6;ECS;33;61;79
Guyana;34.83;61;LM;7;LCN;5;113;103
India;34.52;62;LM;8;SAS;1;56;41
Greece;34.18;63;HI;42;ECS;34;46;54
Uruguay;34.18;64;UM;14;LCN;6;53;80
Turkey;34.11;65;UM;15;ECS;35;67;51
Tunisia;33.89;66;LM;9;MEA;10;62;46
Macedonia;33.47;67;UM;16;ECS;36;77;89
Mongolia;33.40;68;LM;10;EAS;11;87;105
Armenia;33.00;69;LM;11;ECS;37;82;104
Ghana;32.48;70;LI;1;SSF;3;105;n/a
Colombia;32.32;71;UM;17;LCN;7;90;75
TrinidadandTobago;32.17;72;HI;43;LCN;8;55;65
Georgia;31.87;73;LM;12;ECS;38;84;98
Paraguay;31.17;74;LM;13;LCN;9;127;118
BruneiDarussalam;30.93;75;HI;44;EAS;12;48;n/a
BosniaHerzegovina;30.84;76;UM;18;ECS;39;116;n/a
Panama;30.77;77;UM;19;LCN;10;66;67
Namibia;30.74;78;UM;20;SSF;4;92;95
Botswana;30.51;79;UM;21;SSF;5;86;77
Albania;30.45;80;UM;22;ECS;40;81;121
Mexico;30.45;81;UM;23;LCN;11;69;61
SriLanka;30.36;82;LM;14;SAS;2;79;58
Peru;30.34;83;UM;24;LCN;12;88;85
Kazakhstan;30.32;84;UM;25;ECS;41;63;72
Kyrgyzstan;29.79;85;LI;2;ECS;42;104;122
Guatemala;29.33;86;LM;15;LCN;13;95;81
Egypt;29.21;87;LM;16;MEA;11;74;76
Azerbaijan;29.17;88;UM;26;ECS;43;57;57
Kenya;29.15;89;LI;3;SSF;6;83;78
ElSalvador;29.14;90;LM;17;LCN;14;91;88
Philippines;28.98;91;LM;18;EAS;13;76;63
Jamaica;28.88;92;UM;27;LCN;15;70;73
Ecuador;28.75;93;LM;19;LCN;16;126;109
Morocco;28.73;94;LM;20;MEA;12;94;82
Iran;28.41;95;UM;28;MEA;13;n/a;n/a
Nigeria;28.15;96;LM;21;SSF;7;96;70
Bangladesh;28.05;97;LI;4;SAS;3;120;111
Honduras;27.81;98;LM;22;LCN;17;112;83
Indonesia;27.78;99;LM;23;EAS;14;72;49
Senegal;27.56;100;LM;24;SSF;8;106;90
Swaziland;27.52;101;LM;25;SSF;9;n/a;n/a
Venezuela;27.41;102;UM;29;LCN;18;124;101
Cameroon;26.95;103;LM;26;SSF;10;119;106
Tanzania;26.88;104;LI;5;SSF;11;98;86
Pakistan;26.75;105;LM;27;SAS;4;103;93
Uganda;26.37;106;LI;6;SSF;12;108;100
Mali;26.35;107;LI;7;SSF;13;107;97
Malawi;25.96;108;LI;8;SSF;14;97;n/a
Rwanda;25.86;109;LI;9;SSF;15;n/a;n/a
Nicaragua;25.78;110;LM;28;LCN;19;117;114
Cambodia;25.46;111;LI;10;EAS;15;102;117
Bolivia;25.44;112;LM;29;LCN;20;129;123
Madagascar;25.41;113;LI;11;SSF;16;125;113
Zambia;25.27;114;LI;12;SSF;17;111;96
SyrianArabRepublic;24.82;115;LM;30;MEA;14;132;94
Tajikistan;24.50;116;LI;13;ECS;44;115;112
CotedIvoire;24.08;117;LM;31;SSF;18;89;n/a
Benin;23.81;118;LI;14;SSF;19;118;99
Zimbabwe;23.54;119;LI;15;SSF;20;131;126
BurkinaFaso;23.14;120;LI;16;SSF;21;122;115
Ethiopia;22.88;121;LI;17;SSF;22;123;120
Niger;21.41;122;LI;18;SSF;23;n/a;n/a
Yemen;20.72;123;LM;32;MEA;15;n/a;n/a
Sudan;20.36;124;LM;33;SSF;24;n/a;n/a
Algeria;19.79;125;UM;30;MEA;16;121;108
