Pais;Score;Rank;Income;RankIncome;Region;RankRegion;Eficiency;RankEficiency
UnitedArabEmirates;43.25;36;HI;33;NAWA;3;0.54;127
Slovakia;41.89;37;HI;34;EUR;24;0.79;45
SaudiArabia;41.61;38;HI;35;NAWA;4;0.74;70
Lithuania;41.00;39;HI;36;EUR;25;0.68;89
Mauritius;40.94;40;UM;4;SSF;1;0.75;65
Barbados;40.78;41;HI;37;LCN;1;0.69;87
Croatia;40.75;42;HI;38;EUR;26;0.81;36
Moldova;40.74;43;LM;1;EUR;27;1.07;1
Bulgaria;40.74;44;UM;5;EUR;28;0.84;25
Poland;40.64;45;HI;39;EUR;29;0.72;76
Chile;40.64;46;HI;40;LCN;2;0.68;92
Qatar;40.31;47;HI;41;NAWA;5;0.60;114
Thailand;39.28;48;UM;6;SEAO;9;0.76;62
Russia;39.14;49;HI;42;EUR;30;0.79;49
Greece;38.95;50;HI;43;EUR;31;0.70;85
Seychelles;38.56;51;UM;7;SSF;2;0.74;74
Panama;38.30;52;UM;8;LCN;3;0.85;20
SouthAfrica;38.25;53;UM;9;SSF;3;0.68;93
Turkey;38.20;54;UM;10;NAWA;6;0.93;11
Romania;38.08;55;UM;11;EUR;32;0.84;24
Mongolia;37.52;56;LM;2;SEAO;10;0.68;94
CostaRica;37.30;57;UM;12;LCN;4;0.81;38
Belarus;37.10;58;UM;13;EUR;33;0.83;27
Montenegro;37.01;59;UM;14;EUR;34;0.62;106
Macedonia;36.93;60;UM;15;EUR;35;0.70;82
Brazil;36.29;61;UM;16;LCN;5;0.74;71
Bahrain;36.26;62;HI;44;NAWA;7;0.60;117
Ukraine;36.26;63;LM;3;EUR;36;0.90;14
Jordan;36.21;64;UM;17;NAWA;8;0.80;40
Armenia;36.06;65;LM;4;NAWA;9;0.83;28
Mexico;36.02;66;UM;18;LCN;6;0.71;79
Serbia;35.89;67;UM;19;EUR;37;0.79;46
Colombia;35.50;68;UM;20;LCN;7;0.63;102
Kuwait;35.19;69;HI;45;NAWA;10;0.78;50
Argentina;35.13;70;UM;21;LCN;8;0.79;43
VietNam;34.89;71;LM;5;SEAO;11;0.95;5
Uruguay;34.76;72;HI;46;LCN;9;0.73;75
Peru;34.73;73;UM;22;LCN;10;0.62;107
Georgia;34.53;74;LM;6;NAWA;11;0.68;90
Oman;33.87;75;HI;47;NAWA;12;0.58;121
India;33.70;76;LM;7;CSA;1;0.82;31
Lebanon;33.60;77;UM;23;NAWA;13;0.59;119
Tunisia;32.94;78;UM;24;NAWA;14;0.66;98
Kazakhstan;32.75;79;UM;25;CSA;2;0.59;118
Guyana;32.48;80;LM;8;LCN;11;0.74;68
BosniaandHerzegovina;32.43;81;UM;26;EUR;38;0.65;101
Jamaica;32.41;82;UM;27;LCN;12;0.65;100
DominicanRepublic;32.29;83;UM;28;LCN;13;0.85;21
Morocco;32.24;84;LM;9;NAWA;15;0.70;83
Kenya;31.85;85;LI;1;SSF;4;0.84;26
Bhutan;31.83;86;LM;10;CSA;3;0.60;112
Indonesia;31.81;87;LM;11;SEAO;12;0.96;4
BruneiDarussalam;31.67;88;HI;48;SEAO;13;0.43;139
Paraguay;31.59;89;LM;12;LCN;14;0.75;63
TrinidadandTobago;31.56;90;HI;49;LCN;15;0.63;103
Uganda;31.14;91;LI;2;SSF;5;0.71;77
Botswana;30.87;92;UM;29;SSF;6;0.50;133
Guatemala;30.75;93;LM;13;LCN;16;0.68;95
Albania;30.47;94;UM;30;EUR;39;0.50;131
Fiji;30.39;95;UM;31;SEAO;14;0.34;141
Ghana;30.26;96;LM;14;SSF;7;0.81;37
CaboVerde;30.09;97;LM;15;SSF;8;0.55;126
Senegal;30.06;98;LM;16;SSF;9;0.85;23
Egypt;30.03;99;LM;17;NAWA;16;0.76;59
Philippines;29.87;100;LM;18;SEAO;15;0.81;35
Azerbaijan;29.60;101;UM;32;NAWA;17;0.58;120
Rwanda;29.31;102;LI;3;SSF;10;0.46;137
ElSalvador;29.08;103;LM;19;LCN;17;0.60;116
Gambia;29.03;104;LI;4;SSF;11;0.76;58
SriLanka;28.98;105;LM;20;CSA;4;0.87;17
Cambodia;28.66;106;LI;5;SEAO;16;0.74;67
Mozambique;28.52;107;LI;6;SSF;12;0.57;124
Namibia;28.47;108;UM;33;SSF;13;0.55;125
BurkinaFaso;28.18;109;LI;7;SSF;14;0.71;78
Nigeria;27.79;110;LM;21;SSF;15;0.94;8
Bolivia;27.76;111;LM;22;LCN;18;0.70;84
Kyrgyzstan;27.75;112;LI;8;CSA;5;0.46;136
Malawi;27.61;113;LI;9;SSF;16;0.67;96
Cameroon;27.52;114;LM;23;SSF;17;0.80;39
Ecuador;27.50;115;UM;34;LCN;19;0.63;104
CotedIvoire;27.02;116;LM;24;SSF;18;0.93;10
Lesotho;27.01;117;LM;25;SSF;19;0.40;140
Honduras;26.73;118;LM;26;LCN;20;0.53;128
Mali;26.18;119;LI;10;SSF;20;0.83;30
Iran;26.14;120;UM;35;CSA;6;0.57;122
Zambia;25.76;121;LM;27;SSF;21;0.79;44
Venezuela;25.66;122;UM;36;LCN;21;0.95;7
Tanzania;25.60;123;LI;11;SSF;22;0.60;113
Madagascar;25.50;124;LI;12;SSF;23;0.62;105
Nicaragua;25.47;125;LM;28;LCN;22;0.53;129
Ethiopia;25.36;126;LI;13;SSF;24;0.67;97
Swaziland;25.33;127;LM;29;SSF;25;0.57;123
Uzbekistan;25.20;128;LM;30;CSA;7;0.61;108
Bangladesh;24.35;129;LI;14;CSA;8;0.68;91
Zimbabwe;24.31;130;LI;15;SSF;26;0.79;48
Niger;24.27;131;LI;16;SSF;27;0.50;132
Benin;24.21;132;LI;17;SSF;28;0.60;115
Algeria;24.20;133;UM;37;NAWA;18;0.53;130
Pakistan;24.00;134;LM;31;CSA;9;0.89;16
Angola;23.82;135;UM;38;SSF;29;0.82;33
Nepal;23.79;136;LI;18;CSA;10;0.49;134
Tajikistan;23.73;137;LI;19;CSA;11;0.45;138
Burundi;22.43;138;LI;20;SSF;30;0.46;135
Guinea;20.25;139;LI;21;SSF;31;0.61;109
Myanmar;19.64;140;LI;22;SEAO;17;0.71;80
Yemen;19.53;141;LM;32;NAWA;19;0.60;111
Togo;17.65;142;LI;23;SSF;32;0.25;142
Sudan;12.66;143;LM;33;SSF;33;0.09;143
