Pais;Score;Rank;Income;RankIncome;Region;RankRegion;Eficiency;RankEficiency
SriLanka;28.66;88;LM;14;CSA;4;0.58;78
Paraguay;28.66;89;UM;29;LCN;12;0.54;86
Lebanon;28.22;90;UM;30;NAWA;16;0.50;98
Botswana;28.16;91;UM;31;SSF;4;0.39;118
Tanzania;28.07;92;LI;1;SSF;5;0.72;31
Namibia;28.03;93;UM;32;SSF;6;0.41;116
Kyrgyzstan;27.56;94;LM;15;CSA;5;0.45;106
Egypt;27.16;95;LM;16;NAWA;17;0.66;45
TrinidadandTobago;26.95;96;HI;47;LCN;13;0.43;114
Ecuador;26.80;97;UM;33;LCN;14;0.51;93
Cambodia;26.69;98;LM;17;SEAO;15;0.61;60
Rwanda;26.54;99;LI;2;SSF;7;0.31;125
Senegal;26.53;100;LI;3;SSF;8;0.60;70
Tajikistan;26.51;101;LM;18;CSA;6;0.60;67
Guatemala;25.51;102;LM;19;LCN;15;0.56;82
Uganda;25.32;103;LI;4;SSF;9;0.45;108
ElSalvador;25.11;104;LM;20;LCN;16;0.43;112
Honduras;24.95;105;LM;21;LCN;17;0.47;101
Madagascar;24.75;106;LI;5;SSF;10;0.69;40
Ghana;24.52;107;LM;22;SSF;11;0.51;90
Nepal;24.17;108;LI;6;CSA;7;0.45;107
Pakistan;24.12;109;LM;23;CSA;8;0.66;46
Algeria;23.87;110;UM;34;NAWA;18;0.42;115
Cameroon;23.85;111;LM;24;SSF;12;0.58;75
Mali;23.32;112;LI;7;SSF;13;0.59;73
Zimbabwe;23.15;113;LI;8;SSF;14;0.60;69
Malawi;23.09;114;LI;9;SSF;15;0.52;89
Mozambique;23.06;115;LI;10;SSF;16;0.52;88
Bangladesh;23.06;116;LM;25;CSA;9;0.53;87
Bolivia;22.88;117;LM;26;LCN;18;0.43;113
Nigeria;22.37;118;LM;27;SSF;17;0.50;96
Guinea;20.71;119;LI;11;SSF;18;0.47;102
Zambia;20.66;120;LM;28;SSF;19;0.45;109
Benin;20.61;121;LI;12;SSF;20;0.35;123
Niger;20.57;122;LI;13;SSF;21;0.36;120
CotedIvoire;19.96;123;LM;29;SSF;22;0.40;117
BurkinaFaso;18.95;124;LI;14;SSF;23;0.28;126
Togo;18.91;125;LI;15;SSF;24;0.36;121
Yemen;15.04;126;LM;30;NAWA;19;0.36;122
