Year of Application or Grant;Utility Patent Applications U.S. Origin;Utility Patent Applications Foreign Origin;Utility Patent Applications Foreign Origin Percent Share;Utility Patent Applications All Origin Total;Design Patent Applications;Plant Patent Applications;Total Patent Applications; Utility Patent Grants U.S. Origin;Utility Patent Grants Foreign Origin;Utility Patent Grants Foreign Origin Percent Share;Utility Patent Grants All Origin Total;Design Patent Grants;Plant Patent Grants;Reissue Patent Grants;Total Patent Grants;Total Patent Grants Foreign Origin Percent Share;Year of Application or Grant
1993;99955;74788;42.8;174743;13635;361;188739;53231;45111;45.9;98342;10630;442;332;109746;44;1993;
1994;107233;82624;43.5;189857;15774;459;206090;56066;45610;44.9;101676;11095;499;317;113587;43;1994;
1995;123958;88419;41.6;212377;15409;452;228238;55739;45680;45.0;101419;11712;387;316;113834;43;1995;
1996;106892;88295;45.2;195187;15161;665;211013;61104;48541;44.3;109645;11410;362;279;121696;43;1996;
1997;120445;94812;44.0;215257;16546;621;232424;61708;50276;44.9;111984;11414;394;277;124069;44;1997;
1998;135483;107579;44.3;243062;17107;720;260889;80289;67228;45.6;147517;14766;561;298;163142;44;1998;
1999;149825;120362;44.5;270187;17761;863;288811;83906;69579;45.3;153485;14732;420;448;169085;44;1999;
2000;164795;131131;44.3;295926;18292;797;315015;85068;72426;46.0;157494;17413;548;524;175979;45;2000;
2001;177511;148997;45.6;326508;18280;944;345732;87600;78435;47.2;166035;16871;584;480;183970;46;2001;
2002;184245;150200;44.9;334445;20904;1144;356493;86971;80360;48.0;167331;15451;1133;460;184375;47;2002;
2003;188941;153500;44.8;342441;22602;1000;366043;87893;81130;48.0;169023;16574;994;421;187012;47;2003;
2004;189536;167407;46.9;356943;23975;1221;382139;84270;80020;48.7;164290;15695;1016;298;181299;48;2004;
2005;207867;182866;46.8;390733;25553;1222;417508;74637;69169;48.1;143806;12951;716;245;157718;48;2005;
2006;221784;204183;47.9;425967;25515;1151;452633;89823;83949;48.3;173772;20965;1149;519;196405;48;2006;
2007;241347;214807;47.1;456154;27752;1049;484955;79526;77756;49.4;157282;24062;1047;508;182899;49;2007;
2008;231588;224733;49.2;456321;27782;1209;485312;77502;80270;50.9;157772;25565;1240;647;185224;50;2008;
2009;224912;231194;50.7;456106;25806;959;482871;82382;84967;50.8;167349;23116;1009;453;191927;50;2009;
2010;241977;248249;50.6;490226;29059;992;520277;107791;111823;50.9;219614;22799;981;947;244341;50;2010;
2011;247750;255832;50.8;503582;30467;1139;535188;108622;115883;51.6;224505;21356;823;1029;247713;51;2011;
2012;268782;274033;50.5;542815;32799;1149;576763;121026;132129;52.2;253155;21951;860;822;276788;52;2012;
2013;287831;283781;49.6;571612;36034;1406;609052;133593;144242;51.9;277835;23468;847;798;302948;51;2013;
2014;285096;293706;50.7;578802;35378;1063;615243;144621;156057;51.9;300677;23657;1072;626;326032;51;2014;
2015;288335;301075;51.1;589410;39097;1140;629647;140969;157438;52.8;298407;25986;1074;512;325979;52;2015;
      
