Pais;Score;Rank;Income;RankIncome;Region;RankRegion;Eficiency;RankEficiency
Albania;30.74;87;UM;27;EUR;39;0.49;129
Paraguay;30.69;88;LM;13;LCN;13;0.75;54;
DominicanRepublic;30.60;89;UM;28;LCN;14;0.61;108
Botswana;30.49;90;UM;29;SSF;5;0.54;120
Cambodia;30.35;91;LI;1;SEAO;13;0.69;80
Kenya;30.19;92;LI;2;SSF;6;0.79;30
Azerbaijan;30.10;93;UM;30;NAWA;16;0.60;115
Rwanda;30.09;94;LI;3;SSF;7;0.42;131
Mozambique;30.07;95;LI;4;SSF;8;0.63;104
Jamaica;29.95;96;UM;31;LCN;15;0.54;121
Indonesia;29.79;97;LM;14;SEAO;14;0.77;42
Malawi;29.71;98;LI;5;SSF;9;0.75;53
ElSalvador;29.31;99;LM;15;LCN;16;0.62;106
Egypt;28.91;100;LM;16;NAWA;17;0.68;83
Guatemala;28.84;101;LM;17;LCN;17;0.67;89
BurkinaFaso;28.68;102;LI;6;SSF;10;0.68;85
CaboVerde;28.59;103;LM;18;SSF;11;0.54;119
Bolivia;28.58;104;LM;19;LCN;18;0.76;45
Mali;28.37;105;LI;7;SSF;12;0.87;14
Iran;28.37;106;UM;32;CSA;4;0.63;103
Namibia;28.15;107;UM;33;SSF;13;0.51;126
Ghana;28.04;108;LM;20;SSF;14;0.69;79
Kyrgyzstan;27.96;109;LM;21;CSA;5;0.53;122
Cameroon;27.80;110;LM;22;SSF;15;0.84;19
Uganda;27.65;111;LI;8;SSF;16;0.57;118
Gambia;27.49;112;LI;9;SSF;17;0.77;39
Honduras;27.48;113;LM;23;LCN;19;0.57;117
Tajikistan;27.46;114;LI;10;CSA;6;0.65;101
Fiji;27.31;115;UM;34;SEAO;15;0.28;140
CotedIvoire;27.16;116;LM;24;SSF;18;0.90;10
Tanzania;27.00;117;LI;11;SSF;19;0.77;38
Lesotho;26.97;118;LM;25;SSF;20;0.50;128
Ecuador;26.87;119;UM;35;LCN;20;0.51;127
Angola;26.20;120;UM;36;SSF;21;1.02;1
Bhutan;26.06;121;LM;26;CSA;7;0.33;138
Uzbekistan;25.89;122;LM;27;CSA;8;0.53;123
Swaziland;25.37;123;LM;28;SSF;22;0.42;132
Zambia;24.64;124;LM;29;SSF;23;0.68;81
Madagascar;24.42;125;LI;12;SSF;24;0.59;116
Algeria;24.38;126;UM;37;NAWA;18;0.52;125
Ethiopia;24.17;127;LI;13;SSF;25;0.72;66
Nigeria;23.72;128;LM;30;SSF;26;0.80;28
Bangladesh;23.71;129;LI;14;CSA;9;0.61;112
Nicaragua;23.47;130;LM;31;LCN;21;0.47;130
Pakistan;23.07;131;LM;32;CSA;10;0.76;47
Venezuela;22.77;132;UM;38;LCN;22;0.68;84
Zimbabwe;22.52;133;LI;15;SSF;27;0.69;77
Niger;21.22;134;LI;16;SSF;28;0.29;139
Nepal;21.08;135;LI;17;CSA;11;0.40;134
Burundi;21.04;136;LI;18;SSF;29;0.36;137
Yemen;20.80;137;LM;33;NAWA;19;0.65;97
Myanmar;20.27;138;LI;19;SEAO;16;0.69;75
Guinea;18.49;139;LI;20;SSF;30;0.61;109
Togo;18.43;140;LI;21;SSF;31;0.24;141
Sudan;14.95;141;LM;34;SSF;32;0.37;136
